Timestamp (s),Motor ID,CAN ID,Target RPM,Raw Frame (Hex)
4.816,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
4.816,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
4.816,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
4.998,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
4.998,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
4.998,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
4.998,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
5.190,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
5.190,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
5.190,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
5.190,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
5.390,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
5.390,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
5.390,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
5.390,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
5.556,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
5.556,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
5.556,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
5.556,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
5.745,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
5.745,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
5.745,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
5.745,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
5.917,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
5.917,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
5.917,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
5.917,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
6.088,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
6.088,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
6.088,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
6.088,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
6.253,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
6.253,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
6.253,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
6.253,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
6.421,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
6.421,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
6.421,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
6.421,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
